# PandaX-II, arXiv:1708.06917
# DM direct detection (SI)
#     M_WIMP (GeV)      sigma_WIMP-nucleon (cm^2)
 7.96317654990828e+000    1.00543996156680e-044
 8.09773784358780e+000    9.00497946389385e-045
 8.31157311095660e+000    7.62222083178424e-045
 9.18214137382316e+000    3.93941840026979e-045
 8.65100146416084e+000    5.91363304911075e-045
 9.61947522083610e+000    3.02738337205742e-045
 1.02957785757064e+001    2.00303961618513e-045
 1.10089562691760e+001    1.46570626189637e-045
 1.17824533593641e+001    1.07617235001479e-045
 1.30274431793178e+001    7.00979264278278e-046
 1.41515599590268e+001    5.03254110316933e-046
 1.54152446978671e+001    3.79700716485339e-046
 1.65591263024206e+001    3.04573520013909e-046
 1.81047882728461e+001    2.33740354040650e-046
 1.99978057092039e+001    1.82085674626783e-046
 2.21088485056000e+001    1.48765896034281e-046
 2.46704210105718e+001    1.25492935754850e-046
 2.84114851236779e+001    1.07530048346137e-046
 3.21470556580643e+001    9.68967361258745e-047
 3.59036252587141e+001    8.98463913061477e-047
 3.93975077594227e+001    8.58995983586405e-047
 4.15773495919277e+001    8.54325975859127e-047
 4.49496650836345e+001    8.60734474701417e-047
 5.10936697840125e+001    8.83263514713877e-047
 6.20920759854992e+001    9.26324946949153e-047
 7.44125643852158e+001    1.03213750852837e-046
 9.35006358798773e+001    1.19225914552686e-046
 1.13516837789854e+002    1.40276426029783e-046
 1.32179486265633e+002    1.62040165994105e-046
 1.65008001980623e+002    1.92343063874526e-046
 1.99776547662429e+002    2.21881451305861e-046
 2.67864334943079e+002    2.93464842156412e-046
 3.42869140889951e+002    3.78495161819545e-046
 4.26823290515537e+002    4.79930848323615e-046
 5.04893261328398e+002    5.77492219658690e-046
 6.45077466924048e+002    7.22849933082439e-046
 8.20365381586857e+002    9.08497006058560e-046
 1.02694284065712e+003    1.15275492040379e-045
 1.32676225753125e+003    1.47768228729865e-045
 1.70302326972535e+003    1.85971692539322e-045
 2.13981919361959e+003    2.29792191055930e-045
 2.66627548426441e+003    2.83166707865949e-045
 3.41922811243563e+003    3.58808820173935e-045
 4.42981088419215e+003    4.58384024168282e-045
 5.48388578518030e+003    5.71815554464661e-045
 6.64539071158898e+003    7.00810518196726e-045
 7.94155526455133e+003    8.52502302003293e-045
 8.65742551252904e+003    9.38332348726013e-045
 9.21280557901838e+003    1.01056231952388e-044
