# XENON1T, arXiv:1805.12562, PRL
# DM direct detection (SI)
#     M_WIMP (GeV)      sigma_WIMP-nucleon (cm^2)
 5.99764532082929e+000    2.27677497383400e-044
 6.33032370216385e+000    1.44254717488565e-044
 6.53658622674910e+000    1.05846427787642e-044
 6.72769696704159e+000    8.16749686443094e-045
 7.08647120643169e+000    5.23620146456829e-045
 7.32928408047310e+000    3.99311885536188e-045
 7.66395821666903e+000    2.83121352353694e-045
 8.02368828459468e+000    2.02684529983562e-045
 8.41396886397765e+000    1.47767300005392e-045
 8.81965793485944e+000    1.09240676013334e-045
 9.22992346676421e+000    8.39342998260356e-046
 9.63186733256559e+000    6.60282402333319e-046
 1.01004095884719e+001    5.13337619199471e-046
 1.06564565262248e+001    3.96539202567976e-046
 1.12112214113708e+001    3.16658878021899e-046
 1.18044564454550e+001    2.55046552207066e-046
 1.25202556539524e+001    2.01715510113052e-046
 1.33877560900128e+001    1.59878951314030e-046
 1.43211891544335e+001    1.28359051077208e-046
 1.52948609203729e+001    1.05623941394184e-046
 1.64679406469331e+001    8.68229666940081e-047
 1.77382149409268e+001    7.27581496117200e-047
 1.93563907952134e+001    6.12339588135773e-047
 2.12254079298173e+001    5.31614197475329e-047
 2.32371637018130e+001    4.77626938786094e-047
 2.56262794952239e+001    4.42190928668617e-047
 2.87005803226595e+001    4.21401422822777e-047
 3.16258388736916e+001    4.16483444894733e-047
 3.57379016703212e+001    4.25983633626414e-047
 4.04667822642532e+001    4.49449654565276e-047
 4.62890404371196e+001    4.87604847119200e-047
 5.22229468581140e+001    5.32406992487992e-047
 5.77097953145446e+001    5.73894649472940e-047
 6.66596192011121e+001    6.47098641971145e-047
 7.45360108828308e+001    7.11870905796034e-047
 8.27696341383247e+001    7.77273354546857e-047
 9.39126169061608e+001    8.68002822087896e-047
 1.03906235933765e+002    9.50799000981342e-047
 1.15524944037294e+002    1.04484787226417e-046
 1.31290786676350e+002    1.17182238574483e-046
 1.49329479069197e+002    1.31845849751182e-046
 1.68952257274519e+002    1.47868030553094e-046
 1.87920738768821e+002    1.63717664432630e-046
 2.10466896394433e+002    1.82240328712259e-046
 2.37544003444021e+002    2.04605396100451e-046
 2.60907861829662e+002    2.24361557594027e-046
 2.88437897284259e+002    2.47877978819952e-046
 3.25149802869491e+002    2.78298133303336e-046
 3.65345407374069e+002    3.11448470320139e-046
 4.04223586103520e+002    3.45570696596117e-046
 4.48329909760977e+002    3.81383415917596e-046
 5.00084322711954e+002    4.26354622137039e-046
 5.56229591010984e+002    4.74589942297373e-046
 6.25245831414632e+002    5.35120199780464e-046
 6.92624629883459e+002    5.94384612835969e-046
 7.58897027058005e+002    6.52474719567910e-046
 8.48223221360030e+002    7.27851447221171e-046
 9.32029825369335e+002    8.04138802673472e-046
 1.00190142986976e+003    8.65861847129905e-046
